Serving HTTP on 0.0.0.0 port 8082 (http://0.0.0.0:8082/) ...
127.0.0.1 - - [27/May/2025 07:33:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:34:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:34:48] "GET /projects.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:34:48] "GET /reflection.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:34:48] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:34:48] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:11] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:11] "GET /uts.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:11] "GET /m1.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:11] "GET /m3.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:11] "GET /m2.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:11] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:16] "GET /projects.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:16] "GET /m4.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:16] "GET /m5.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:16] "GET /m6.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:17] "GET /reflection.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:51] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:51] "GET /uts.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:51] "GET /m1.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:51] "GET /m2.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:51] "GET /m3.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:51] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:58] "GET /projects.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:58] "GET /m5.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:58] "GET /m4.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:58] "GET /m6.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:35:59] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:25] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:25] "GET /uts.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:25] "GET /m2.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:25] "GET /m1.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:25] "GET /m3.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:25] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:25] "GET /projects.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:27] "GET /m4.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:27] "GET /m5.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:27] "GET /m6.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:56] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:57] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:57] "GET /uts.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:57] "GET /m1.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:57] "GET /m2.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:57] "GET /m3.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:57] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:36:57] "GET /reflection.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:37:00] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:37:01] "GET /projects.html HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:37:01] "GET /m4.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:37:01] "GET /m5.png HTTP/1.1" 200 -
127.0.0.1 - - [27/May/2025 07:37:01] "GET /m6.png HTTP/1.1" 200 -
